NAME,PRIMARY TYPE,LAST ERUPTION YEAR,COUNTRY,REGION2,SUBREGION,LATITUDE,LONGITUDE,ELEVATION,EVIDENCE CATEGORY,POPULATION WITHIN 5KM,POPULATION WITHIN 10KM,POPULATION WITHIN 30KM,POPULATION WITHIN 100KM
Epi,Stratovolcano(es),2004,Vanuatu,"Melanesia and Australia","Vanuatu",-16.68,168.37,833,Eruption Observed,0,170,7819,52827
Erciyes Dagi,Stratovolcano,-6880,Turkey,"Mediterranean and Western Asia","Turkey",38.531,35.447,3864,Eruption Dated,1715,8036,767813,1817720
Erebus,Stratovolcano,2017,Antarctica,"Antarctica","Antarctica and South Sandwich Islands",-77.53,167.17,3794,Eruption Observed,0,0,0,0
Erta Ale,Shield,2017,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.6,40.67,613,Eruption Observed,2685,2796,8857,235083
Esan,Lava dome(s),1874,Japan,"Japan, Taiwan, Marianas","Hokkaido",41.805,141.166,618,Eruption Observed,1734,5831,33197,916560
Escanaba Segment,Submarine,-2260,Undersea Features,"Hawaii and Pacific Ocean","Pacific Ocean (northern)",40.98,-127.5,-1700,Eruption Dated,0,0,0,0
Escorial,Stratovolcano,Unknown,Chile-Argentina,"South America","Northern Chile, Bolivia and Argentina",-25.083,-68.367,5451,Evidence Uncertain,1,17,227,7141
Esjufjoll,Stratovolcano,Unknown,Iceland,"Iceland and Arctic Ocean","Iceland (southeastern)",64.25,-16.583,1620,Unrest / Holocene,0,0,0,2564
Esmeralda Bank,Submarine,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15.0,145.25,-43,Unrest / Holocene,0,0,0,84578
Est,Stratovolcano,Unknown,France,"Middle East and Indian Ocean","Indian Ocean (southern)",-46.43,52.2,1090,Evidence Uncertain,0,0,0,0
Esteli,Fissure vent(s),Unknown,Nicaragua,"México and Central America","Nicaragua",13.17,-86.4,899,Evidence Uncertain,133804,133804,246244,2574633
Etna,Stratovolcano(es),2017,Italy,"Mediterranean and Western Asia","Italy",37.748,14.999,3295,Eruption Observed,78,3291,1016540,3052770
Etorofu-Atosanupuri [Atosanupuri],Stratovolcano,1932,Japan - administered by Russia,"Kuril Islands","Kuril Islands",44.808,147.131,1206,Eruption Observed,1,289,644,4311
Etorofu-Yakeyama [Grozny Group],Complex(es),2013,Japan - administered by Russia,"Kuril Islands","Kuril Islands",45.012,147.871,1158,Eruption Observed,0,39,2417,6361
Eyjafjallajokull,Stratovolcano,2010,Iceland,"Iceland and Arctic Ocean","Iceland (southern)",63.633,-19.633,1651,Eruption Observed,0,4,786,18516
Falcon Island,Submarine,1936,Tonga,"New Zealand to Fiji","Tonga Islands",-20.32,-175.42,-17,Eruption Observed,302,302,532,69016
Falso Azufre,Complex,Unknown,Chile-Argentina,"South America","Northern Chile, Bolivia and Argentina",-26.8,-68.37,5906,Evidence Uncertain,0,13,215,9979
Farallon de Pajaros,Stratovolcano,1967,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.538,144.896,360,Eruption Observed,0,0,0,0
Fayal,Stratovolcano,1958,Portugal,"Atlantic Ocean","Azores",38.6,-28.73,1043,Eruption Observed,1514,13757,24414,50663
Fedotych,Shield,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",57.13,160.4,965,Evidence Uncertain,0,12,56,8300
Fentale,Stratovolcano,1820,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",8.975,39.93,2007,Eruption Observed,1919,14201,169357,3482286
Fernandina,Shield,2009,Ecuador,"South America","Galapagos Islands",-0.37,-91.55,1476,Eruption Observed,129,129,208,1972
Fisher,Stratovolcano,1830,United States,"Alaska","Aleutian Islands",54.65,-164.43,1112,Eruption Observed,0,0,0,25
Flores,Volcanic field,Unknown,Guatemala,"México and Central America","Guatemala",14.308,-89.992,1600,Evidence Credible,205145,205145,397357,7489933
Flores,Stratovolcano(es),-950,Portugal,"Atlantic Ocean","Azores",39.462,-31.216,914,Eruption Dated,1054,4560,5825,5865
Fogo,Stratovolcano,2015,Cape Verde,"Atlantic Ocean","Cape Verde Islands",14.95,-24.35,2829,Eruption Observed,189,13254,37650,267298
Fonualei,Stratovolcano,1957,Tonga,"New Zealand to Fiji","Tonga Islands",-18.02,-174.325,180,Eruption Observed,71,71,91,17857
Forecast Seamount,Submarine,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",13.4,143.92,-1456,Unrest / Holocene,0,0,0,143992
Fort Portal,Tuff cone(s),-2120,Uganda,"Africa and Red Sea","Africa (central)",0.7,30.25,1615,Eruption Dated,242914,242914,498815,4167189
Fort Selkirk,Volcanic field,Unknown,Canada,"Canada and Western USA","Canada",62.93,-137.38,1239,Evidence Uncertain,6,6,6,491
Fournaise,Shield,2017,France,"Middle East and Indian Ocean","Indian Ocean (western)",-21.244,55.708,2632,Eruption Observed,55859,55859,246792,717820
Fourpeaked,Stratovolcano,2006,United States,"Alaska","Alaska Peninsula",58.77,-153.672,2105,Eruption Observed,0,0,0,165
Fremrinamar,Stratovolcano,-1200,Iceland,"Iceland and Arctic Ocean","Iceland (northeastern)",65.416,-16.666,970,Eruption Dated,0,0,476,19143
Frosty,Stratovolcano(es),Unknown,United States,"Alaska","Alaska Peninsula",55.067,-162.835,1728,Evidence Credible,0,0,67,1153
Fuego,Stratovolcano(es),2017,Guatemala,"México and Central America","Guatemala",14.473,-90.88,3763,Eruption Observed,1373,54332,1016339,7677809
Fueguino,Lava dome(s),1820,Chile,"South America","Southern Chile and Argentina",-54.97,-70.262,157,Eruption Observed,18,78,294,1296
Fuerteventura,Fissure vent(s),Unknown,Spain,"Atlantic Ocean","Canary Islands",28.358,-14.02,529,Evidence Credible,1432,8752,52038,226781
Fujisan,Stratovolcano,1708,Japan,"Japan, Taiwan, Marianas","Honshu",35.361,138.728,3776,Eruption Observed,570,1759,906969,25022187
Fukue,Shield(s),-400,Japan,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",32.657,128.849,315,Eruption Dated,18334,40407,61450,704523
Fukujin,Submarine,1974,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.93,143.47,-217,Eruption Observed,0,0,0,0
Fukutoku-Oka-no-Ba,Submarine,2010,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",24.285,141.481,-29,Eruption Observed,11,19,19,951
Furnas,Stratovolcano,1630,Portugal,"Atlantic Ocean","Azores",37.77,-25.32,805,Eruption Observed,1333,7310,87865,153182
Fuss Peak,Stratovolcano,1854,Russia,"Kuril Islands","Kuril Islands",50.267,155.246,1742,Eruption Observed,0,62,354,1891
Gabillema,Stratovolcano,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",11.08,41.27,1459,Evidence Credible,248,772,12626,373968
Gada Ale,Stratovolcano,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.975,40.408,287,Evidence Credible,101,605,4827,618972
Galapagos Rift,Submarine,1996,Undersea Features,"Hawaii and Pacific Ocean","Pacific Ocean (eastern)",0.792,-86.15,-2430,Eruption Observed,0,0,0,0
Galeras,Complex,2014,Colombia,"South America","Colombia",1.22,-77.37,4276,Eruption Observed,705,120817,630777,1700248
Gallego,Volcanic field,Unknown,Solomon Islands,"Melanesia and Australia","Bougainville and Solomon Islands",-9.35,159.73,1000,Evidence Uncertain,10017,10017,81587,169626
Galunggung,Stratovolcano,1984,Indonesia,"Indonesia","Java",-7.25,108.058,2168,Eruption Observed,4781,66495,2382939,23897342
Gamalama,Stratovolcano(es),2016,Indonesia,"Indonesia","Halmahera",0.8,127.33,1715,Eruption Observed,103429,204820,308691,536972
Gamchen,Complex,-550,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",54.974,160.703,2539,Eruption Dated,0,0,382,3829
Gamkonora,Stratovolcano,2007,Indonesia,"Indonesia","Halmahera",1.38,127.53,1635,Eruption Observed,3354,12744,61376,627128
Gareloi,Stratovolcano,1989,United States,"Alaska","Aleutian Islands",51.79,-178.794,1573,Eruption Observed,0,0,0,0
Garibaldi,Stratovolcano,-8060,Canada,"Canada and Western USA","Canada",49.85,-123.0,2678,Eruption Dated,0,22,16058,2264818
Garibaldi Lake,Volcanic field,Unknown,Canada,"Canada and Western USA","Canada",49.92,-123.03,2316,Evidence Credible,6635,6635,28109,2218089
Garove,Stratovolcano,Unknown,Papua New Guinea,"Melanesia and Australia","New Britain",-4.692,149.5,368,Evidence Credible,4259,5887,6388,18704
Garua Harbour,Volcanic field,Unknown,Papua New Guinea,"Melanesia and Australia","New Britain",-5.3,150.07,565,Evidence Uncertain,12090,12090,44354,123676
Gaua,Stratovolcano,2011,Vanuatu,"Melanesia and Australia","Vanuatu",-14.27,167.5,797,Eruption Observed,166,1200,2848,8834
Gedamsa,Caldera,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",8.357,39.188,1873,Evidence Credible,216008,216008,744211,8000105
Gede-Pangrango,Stratovolcano(es),1957,Indonesia,"Indonesia","Java",-6.77,106.965,3008,Eruption Observed,2500,154390,2315469,40640105
Genovesa,Shield,Unknown,Ecuador,"South America","Galapagos Islands",0.32,-89.958,64,Evidence Credible,197,197,197,2665
Geodesistoy,Shield,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",56.33,158.67,1170,Evidence Uncertain,0,6,162,5255
Ghegam Ridge,Volcanic field,-1900,Armenia,"Mediterranean and Western Asia","Western Asia",40.275,44.75,3597,Eruption Dated,1265153,1265153,1265153,3151168
Giggenbach,Submarine,Unknown,New Zealand,"New Zealand to Fiji","Kermadec Islands",-30.036,-178.712,-65,Unrest / Holocene,0,0,0,0
Glacier Peak,Stratovolcano,1700,United States,"Canada and Western USA","USA (Washington)",48.112,-121.113,3213,Eruption Dated,0,0,23,1340896
Gloria,Volcanic field,Unknown,Mexico,"México and Central America","Mexico",19.33,-97.25,3500,Evidence Credible,108512,108512,290739,5697562
Golaya,Stratovolcano,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",52.263,157.787,858,Evidence Credible,0,0,54,23976
Golden Trout Creek,Volcanic field,-5550,United States,"Canada and Western USA","USA (California)",36.358,-118.32,2886,Eruption Dated,3,3,273,461496
Gollu Dag,Lava dome,Unknown,Turkey,"Mediterranean and Western Asia","Turkey",38.25,34.57,2143,Evidence Uncertain,835,20644,155618,2049981
Goodenough,Volcanic field,Unknown,Papua New Guinea,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-9.48,150.35,220,Evidence Credible,7639,7639,17932,127955
Gorely,Caldera,2010,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",52.559,158.03,1799,Eruption Observed,0,0,19,250293
Gorny Institute,Stratovolcano,1250,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",57.33,160.2,2125,Eruption Dated,0,0,17,3454
Graciosa,Stratovolcano,-1950,Portugal,"Atlantic Ocean","Azores",39.02,-27.97,402,Eruption Dated,2500,5941,6153,96656
Gran Canaria,Fissure vent(s),40,Spain,"Atlantic Ocean","Canary Islands",28.0,-15.58,1950,Eruption Dated,1101,8049,697199,1119998
Granada,Fissure vent(s),Unknown,Nicaragua,"México and Central America","Nicaragua",11.92,-85.98,300,Evidence Credible,105952,137880,678798,2722372
Great Sitkin,Stratovolcano,1974,United States,"Alaska","Aleutian Islands",52.076,-176.13,1740,Eruption Observed,0,0,0,0
Griggs,Stratovolcano,-1790,United States,"Alaska","Alaska Peninsula",58.354,-155.092,2317,Eruption Dated,0,0,0,654
Grille,Shield,Unknown,Comoros,"Middle East and Indian Ocean","Indian Ocean (western)",-11.47,43.33,1087,Evidence Credible,154373,154373,243474,371795
Grimsnes,Crater rows,-3500,Iceland,"Iceland and Arctic Ocean","Iceland (southwestern)",64.05,-20.883,200,Eruption Dated,6253,6253,11236,197798
Grimsvotn,Caldera,2011,Iceland,"Iceland and Arctic Ocean","Iceland (northeastern)",64.416,-17.316,1719,Eruption Observed,0,0,0,1736
Groppo,Stratovolcano,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",11.816,40.242,852,Evidence Credible,2411,10358,93790,2462199
Guadalupe,Shield,Unknown,Mexico,"México and Central America","Mexico",29.07,-118.28,1100,Evidence Credible,0,0,0,0
Guagua Pichincha,Stratovolcano,2002,Ecuador,"South America","Ecuador",-0.171,-78.598,4784,Eruption Observed,449,32488,2064475,3581801
Guallatiri,Stratovolcano,1960,Chile,"South America","Northern Chile, Bolivia and Argentina",-18.42,-69.092,6071,Eruption Observed,0,63,2290,45906
Guayaques,Lava dome(s),Unknown,Chile-Bolivia,"South America","Northern Chile, Bolivia and Argentina",-22.895,-67.566,5598,Evidence Credible,2,26,408,9770
Guazapa,Stratovolcano,Unknown,El Salvador,"México and Central America","El Salvador and Honduras",13.9,-89.12,1438,Evidence Uncertain,6492,94131,2488228,6800406
Gufa,Volcanic field,Unknown,Eritrea-Djibouti,"Africa and Red Sea","Africa (northeastern) and Red Sea",12.55,42.53,600,Evidence Credible,1651,1651,6301,186649
Guguan,Stratovolcano,1883,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",17.307,145.845,287,Eruption Observed,0,0,0,0
Guntur,Complex,1847,Indonesia,"Indonesia","Java",-7.143,107.84,2249,Eruption Observed,4652,218012,3412038,24486191
Gunungapi Wetar,Stratovolcano,1699,Indonesia,"Indonesia","Banda Sea",-6.642,126.65,282,Eruption Observed,2,2,2,2
Hachijojima,Stratovolcano(es),1606,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.137,139.766,854,Eruption Observed,11275,13560,13564,14082
Hachimantai,Stratovolcano,-5350,Japan,"Japan, Taiwan, Marianas","Honshu",39.958,140.854,1613,Eruption Dated,268,1261,89833,3131126
Hainan Volcanic Field,Pyroclastic cone(s),1933,China,"Philippines and SE Asia","Southeast Asia",19.905,110.229,196,Eruption Observed,1731229,1731229,1731229,6213231
Hakkodasan,Stratovolcano(es),1550,Japan,"Japan, Taiwan, Marianas","Honshu",40.659,140.877,1585,Eruption Dated,225,730,476624,1921667
Hakoneyama,Complex,2015,Japan,"Japan, Taiwan, Marianas","Honshu",35.233,139.021,1438,Eruption Dated,14140,53755,1543563,30282197
Hakusan,Stratovolcano,1659,Japan,"Japan, Taiwan, Marianas","Honshu",36.155,136.771,2702,Eruption Observed,474,807,63965,5959200
Haleakala,Shield,1750,United States,"Hawaii and Pacific Ocean","Hawaiian Islands",20.708,-156.25,3055,Eruption Dated,26074,26074,65398,157582
Halla,Shield,1007,South Korea,"Kamchatka and Mainland Asia","Korea",33.361,126.53,1919,Eruption Observed,134,2653,482766,543082
Hanish,Shield,Unknown,Yemen,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.72,42.73,422,Evidence Credible,219,304,811,850223
Hankow Reef,Submarine,Unknown,Papua New Guinea,"Melanesia and Australia","Northeast of New Guinea",-4.883,146.717,-5,Evidence Uncertain,0,0,0,50983
Hargy,Stratovolcano,950,Papua New Guinea,"Melanesia and Australia","New Britain",-5.33,151.1,1148,Eruption Dated,84,5093,14613,85504
Harrat Ash Shamah,Volcanic field,1850,Syria-Jordan-Saudi Arabia,"Middle East and Indian Ocean","Middle East (western)",32.333,37.583,1100,Eruption Observed,276996,276996,276996,276996
Harunasan,Stratovolcano,550,Japan,"Japan, Taiwan, Marianas","Honshu",36.477,138.851,1449,Eruption Dated,1135,36116,1185012,14076385
Hasan Dagi,Stratovolcano,Unknown,Turkey,"Mediterranean and Western Asia","Turkey",38.13,34.17,3253,Evidence Credible,235,4979,174584,1362673
Haut Dong Nai,Volcanic field,Unknown,Vietnam,"Philippines and SE Asia","Southeast Asia",11.6,108.2,1000,Evidence Uncertain,136278,136278,344723,2975160
Havre Seamount,Submarine,2012,New Zealand,"New Zealand to Fiji","Kermadec Islands",-31.08,-179.033,-897,Eruption Observed,0,0,0,0
Hayes,Stratovolcano,1200,United States,"Alaska","Alaska (southwestern)",61.64,-152.411,3034,Eruption Dated,0,0,0,151
Haylan,Volcanic field,-1200,Yemen,"Middle East and Indian Ocean","Middle East (southern)",15.4,45.1,1550,Eruption Dated,225754,225754,225754,4164209
Hayli Gubbi,Shield,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.51,40.722,493,Evidence Credible,0,83,4266,179357
Healy,Submarine,1360,New Zealand,"New Zealand to Fiji","New Zealand",-35.004,178.973,-980,Eruption Dated,0,0,0,0
Heard,Stratovolcano,2017,Australia,"Middle East and Indian Ocean","Indian Ocean (southern)",-53.106,73.513,2745,Eruption Observed,0,0,0,0
Heart Peaks,Shield,Unknown,Canada,"Canada and Western USA","Canada",58.6,-131.97,2012,Evidence Uncertain,0,0,0,261
Hekla,Stratovolcano,2000,Iceland,"Iceland and Arctic Ocean","Iceland (southern)",63.983,-19.666,1490,Eruption Observed,0,0,298,22845
Helgrindur,Pyroclastic cone(s),Unknown,Iceland,"Iceland and Arctic Ocean","Iceland (western)",64.866,-23.283,986,Evidence Credible,753,753,2312,20018
Hell's Half Acre,Shield,-3250,United States,"Canada and Western USA","USA (Idaho)",43.5,-112.45,1631,Eruption Dated,0,305,12646,295506
Hengill,Crater rows,150,Iceland,"Iceland and Arctic Ocean","Iceland (southwestern)",64.083,-21.416,803,Eruption Dated,5722,5722,124106,204855
Herbert,Stratovolcano,Unknown,United States,"Alaska","Aleutian Islands",52.742,-170.111,1280,Evidence Credible,0,0,0,30
Hertali,Fissure vent,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",9.78,40.33,900,Evidence Credible,474,2243,65271,2279187
Hierro,Shield,2012,Spain,"Atlantic Ocean","Canary Islands",27.73,-18.03,1500,Eruption Observed,20321,20321,20321,43696
Hijiori,Caldera,Unknown,Japan,"Japan, Taiwan, Marianas","Honshu",38.599,140.162,552,Evidence Credible,83511,83511,302176,4338240
Hiri,Stratovolcano,Unknown,Indonesia,"Indonesia","Halmahera",0.9,127.32,630,Evidence Credible,5650,11454,295487,550526
Hiuchigatake,Stratovolcano,1544,Japan,"Japan, Taiwan, Marianas","Honshu",36.955,139.285,2356,Eruption Observed,179,720,18567,7523509
Hobicha Caldera,Caldera,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",6.78,37.83,1800,Evidence Uncertain,466462,466462,1010821,8935632
Hodson,Stratovolcano,Unknown,United Kingdom,"Antarctica","Antarctica and South Sandwich Islands",-56.712,-27.176,835,Evidence Credible,0,0,0,0
Hofsjokull,Subglacial,Unknown,Iceland,"Iceland and Arctic Ocean","Iceland (southwestern)",64.833,-18.766,1765,Evidence Credible,0,0,0,3436
Hokkaido-Komagatake,Stratovolcano,2000,Japan,"Japan, Taiwan, Marianas","Hokkaido",42.063,140.677,1131,Eruption Observed,173,23091,234213,962081
Hollister Ridge,Submarine,Unknown,Undersea Features,"Hawaii and Pacific Ocean","Pacific Ocean (southern)",-53.998,-139.845,-1000,Evidence Uncertain,0,0,0,0
Homa Mountain,Complex,Unknown,Kenya,"Africa and Red Sea","Africa (eastern)",-0.38,34.5,1751,Evidence Credible,16124,60670,628701,10069120
Home Reef,Submarine,2006,Tonga,"New Zealand to Fiji","Tonga Islands",-18.992,-174.775,-10,Eruption Observed,0,0,142,21334
Honggeertu,Pyroclastic cone(s),Unknown,China,"Kamchatka and Mainland Asia","China (eastern)",41.47,113.0,1700,Evidence Uncertain,46721,46721,112975,1830539
Hood,Stratovolcano,1866,United States,"Canada and Western USA","USA (Oregon)",45.374,-121.695,3426,Eruption Observed,0,850,9721,2067520
Hoodoo Mountain,Subglacial,-7050,Canada,"Canada and Western USA","Canada",56.78,-131.28,1850,Eruption Dated,0,0,0,2330
Hornopiren,Stratovolcano,340,Chile,"South America","Southern Chile and Argentina",-41.874,-72.431,1572,Eruption Dated,10,116,5345,332598
Hromundartindur,Stratovolcano,Unknown,Iceland,"Iceland and Arctic Ocean","Iceland (southwestern)",64.083,-21.333,550,Evidence Uncertain,5738,5738,26028,201964
Hualalai,Shield,1801,United States,"Hawaii and Pacific Ocean","Hawaiian Islands",19.692,-155.87,2523,Eruption Observed,35906,35906,46959,166240
Huambo,Volcanic field,-700,Peru,"South America","Peru",-15.83,-72.13,4550,Eruption Dated,301,1157,7271,1028814
Huanquihue Group,Stratovolcano(es),1750,Argentina,"South America","Central Chile and Argentina",-39.887,-71.58,2189,Eruption Dated,22,108,3515,190322
Huaynaputina,Stratovolcano,1600,Peru,"South America","Peru",-16.608,-70.85,4850,Eruption Observed,36,210,9153,1088509
Hudson Mountains,Stratovolcano(es),-210,Antarctica,"Antarctica","Antarctica and South Sandwich Islands",-74.33,-99.42,749,Eruption Dated,0,0,0,0
Hudson,Stratovolcano,2011,Chile,"South America","Southern Chile and Argentina",-45.9,-72.97,1905,Eruption Observed,0,12,28,81642
Huequi,Lava dome(s),1920,Chile,"South America","Southern Chile and Argentina",-42.377,-72.578,1318,Eruption Observed,0,7,1076,107960
Huila,Stratovolcano,2012,Colombia,"South America","Colombia",2.93,-76.03,5364,Eruption Observed,659,3501,56737,4742651
Hulubelu,Caldera,Unknown,Indonesia,"Indonesia","Sumatra",-5.334,104.59,849,Unrest / Holocene,56894,56894,99405,4261988
Hululais,Compound,Unknown,Indonesia,"Indonesia","Sumatra",-3.247,102.239,2122,Unrest / Holocene,9,21,45038,1566370
Humeros,Caldera(s),-4470,Mexico,"México and Central America","Mexico",19.68,-97.45,3150,Eruption Dated,7461,27331,566898,5710131
Hunga Tonga-Hunga Ha'apai,Submarine,2015,Tonga,"New Zealand to Fiji","Tonga Islands",-20.536,-175.382,114,Eruption Observed,230,230,532,86213
Hunter Island,Stratovolcano,1903,France,"Melanesia and Australia","Pacific Ocean (southwestern)",-22.4,172.05,297,Eruption Observed,0,0,0,1
Hydrographers Range,Stratovolcano,Unknown,Papua New Guinea,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-9.0,148.37,1915,Evidence Credible,585,1428,38537,136167
Iamalele,Lava dome(s),Unknown,Papua New Guinea,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-9.52,150.53,200,Evidence Credible,382,766,8026,113875
Ibu,Stratovolcano,2017,Indonesia,"Indonesia","Halmahera",1.488,127.63,1325,Eruption Observed,1560,14549,64581,637988
Ichinsky,Stratovolcano,1740,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",55.678,157.718,3596,Eruption Observed,0,0,34,2670
Iettunup,Shield(s),Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",58.4,161.08,1340,Evidence Uncertain,0,0,2,2905
Igwisi Hills,Pyroclastic cone(s),-10450,Tanzania,"Africa and Red Sea","Africa (eastern)",-4.889,31.933,1146,Eruption Dated,37034,37034,105827,774440
Ijen,Stratovolcano(es),1999,Indonesia,"Indonesia","Java",-8.058,114.242,2769,Eruption Observed,1098,5504,664199,6846855
Iktunup,Shield(s),Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",58.08,160.77,2300,Evidence Uncertain,0,0,16,1965
Iliamna,Stratovolcano,1876,United States,"Alaska","Alaska (southwestern)",60.032,-153.09,3053,Eruption Observed,0,0,1,7564
Iliboleng,Stratovolcano,1993,Indonesia,"Indonesia","Lesser Sunda Islands",-8.342,123.258,1659,Eruption Observed,30359,87503,260688,757701
Iliinsky,Stratovolcano,1901,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",51.498,157.203,1555,Eruption Observed,0,0,410,4173
Ililabalekan,Stratovolcano,Unknown,Indonesia,"Indonesia","Lesser Sunda Islands",-8.55,123.38,1018,Unrest / Holocene,7747,14260,123287,756090
Ilimuda,Stratovolcano,Unknown,Indonesia,"Indonesia","Lesser Sunda Islands",-8.479,122.761,881,Unrest / Holocene,32343,72197,263803,903546
Iliwerung,Complex,2013,Indonesia,"Indonesia","Lesser Sunda Islands",-8.53,123.57,1018,Eruption Observed,968,4318,79569,665081
Illiniza,Stratovolcano,Unknown,Ecuador,"South America","Ecuador",-0.659,-78.714,5248,Evidence Credible,535,6034,158371,3941221
Ilopango,Caldera,1880,El Salvador,"México and Central America","El Salvador and Honduras",13.672,-89.053,450,Eruption Observed,2049583,2049583,2948989,6689160
Imbabura,Compound,-5550,Ecuador,"South America","Ecuador",0.258,-78.183,4609,Eruption Dated,538,96294,477043,3245887
Imuruk Lake,Shield(s),300,United States,"Alaska","Alaska (western)",65.517,-163.45,610,Eruption Dated,0,0,0,0
Incahuasi,Stratovolcano(es),Unknown,Chile-Argentina,"South America","Northern Chile, Bolivia and Argentina",-27.033,-68.296,6638,Evidence Uncertain,1,11,534,12195
Indian Heaven,Shield(s),-6250,United States,"Canada and Western USA","USA (Washington)",45.93,-121.82,1806,Eruption Dated,687,687,6911,2019828
Infiernillo,Volcanic field,-6890,Argentina,"South America","Central Chile and Argentina",-35.123,-69.9,3007,Eruption Dated,270,270,1374,40368
Ingakslugwat Hills,Pyroclastic cone(s),Unknown,United States,"Alaska","Alaska (western)",61.43,-164.47,190,Evidence Credible,0,0,0,4271
Inielika,Complex,2001,Indonesia,"Indonesia","Lesser Sunda Islands",-8.73,120.98,1559,Eruption Observed,4601,27281,162299,818815
Inierie,Stratovolcano,-8050,Indonesia,"Indonesia","Lesser Sunda Islands",-8.875,120.95,2245,Eruption Dated,1073,7501,101938,809293
Ioto,Caldera,2012,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",24.751,141.289,169,Eruption Observed,1179,1179,1189,1370
Io-Torishima,Complex,1968,Japan,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",27.881,128.223,212,Eruption Observed,0,0,0,52818
Ipala,Stratovolcano,Unknown,Guatemala,"México and Central America","Guatemala",14.55,-89.63,1650,Evidence Credible,3381,25003,332154,6136659
Iraya,Stratovolcano,1454,Philippines,"Philippines and SE Asia","North of Luzon",20.469,122.01,1009,Eruption Observed,3087,4118,8255,12873
Irazu,Stratovolcano,1994,Costa Rica,"México and Central America","Costa Rica",9.979,-83.852,3432,Eruption Observed,1978,25442,1667528,3432860
Iriga,Stratovolcano,Unknown,Philippines,"Philippines and SE Asia","Luzon",13.458,123.451,1138,Evidence Credible,3712,142254,1159509,4399866
Irruputuncu,Stratovolcano,1995,Chile-Bolivia,"South America","Northern Chile, Bolivia and Argentina",-20.73,-68.55,5163,Eruption Observed,68,239,2852,16017
Isabel,Tuff cone(s),Unknown,Mexico,"México and Central America","Mexico",21.848,-105.886,95,Evidence Uncertain,0,0,0,0
Isanotski,Stratovolcano,Unknown,United States,"Alaska","Aleutian Islands",54.765,-163.723,2446,Evidence Uncertain,0,0,44,372
Isarog,Stratovolcano,-3500,Philippines,"Philippines and SE Asia","Luzon",13.658,123.38,1966,Eruption Dated,146,27806,1208269,4291363
Ischia,Complex,1302,Italy,"Mediterranean and Western Asia","Italy",40.73,13.897,789,Eruption Observed,18669,20210,383661,5729354
Iskut-Unuk River Cones,Pyroclastic cone(s),1800,Canada,"Canada and Western USA","Canada",56.58,-130.55,1880,Eruption Dated,0,0,0,663
Isluga,Stratovolcano,1913,Chile,"South America","Northern Chile, Bolivia and Argentina",-19.15,-68.83,5550,Eruption Observed,1,703,5961,32205
Itasy Volcanic Field,Pyroclastic cone(s),-6050,Madagascar,"Middle East and Indian Ocean","Indian Ocean (western)",-19.0,46.77,1800,Eruption Dated,129121,129121,249291,4168513
Ithnayn,Volcanic field,Unknown,Saudi Arabia,"Middle East and Indian Ocean","Middle East (southern)",26.58,40.2,1625,Evidence Credible,3112,3112,3112,19734
